,Location,Median House Price,LAD23CD,Median Salary,Housing Affordability Index,Affordability Level
0,Adur,362500.0,E07000223,36273.0,9.993659195544895,Expensive
1,Amber valley,220000.0,E07000032,33852.0,6.498877466619402,Affordable
2,Arun,335000.0,E07000224,33048.0,10.13677075768579,Expensive
3,Ashfield,182500.0,E07000170,34192.0,5.337505849321479,Very Affordable
4,Ashford,334000.0,E07000105,33981.0,9.829022100585622,Expensive
5,Babergh,321075.0,E07000200,32498.0,9.879838759308265,Expensive
6,Barking and dagenham,360000.0,E09000002,35777.0,10.062330547558487,Expensive
7,Barnet,570000.0,E09000003,35959.0,15.851386301065101,Very Expensive
8,Barnsley,155000.0,E08000016,34256.0,4.524754787482485,Very Affordable
9,Basildon,342500.0,E07000066,37526.0,9.127005276341736,Expensive
10,Basingstoke and deane,354995.0,E07000084,41124.0,8.632307168563369,Affordable
11,Bassetlaw,188995.0,E07000171,31339.0,6.0306646670283035,Affordable
12,Bath and north east somerset,395000.0,E06000022,36382.0,10.857017206310813,Expensive
13,Bedford,325265.5,E06000055,34773.0,9.353967158427515,Expensive
14,Bexley,415000.0,E09000004,37948.0,10.936017708443133,Expensive
15,Birmingham,220000.0,E08000025,37439.0,5.8762253265311575,Very Affordable
16,Blaby,270000.0,E07000129,37024.0,7.29256698357822,Affordable
17,Blackburn with darwen,140000.0,E06000008,35310.0,3.964882469555367,Very Affordable
18,Blackpool,125000.0,E06000009,33918.0,3.685358806533404,Very Affordable
19,Blaenau gwent,128000.0,W06000019,29190.0,4.385063377869133,Very Affordable
20,Bolsover,160375.0,E07000033,30637.0,5.234683552567158,Very Affordable
21,Bolton,180000.0,E08000001,30505.0,5.900672020980167,Very Affordable
22,Boston,189950.0,E07000136,31589.0,6.013169141156732,Affordable
23,"Bournemouth, christchurch and poole",325000.0,E06000058,34982.0,9.290492253158767,Expensive
24,Bracknell forest,387000.0,E06000036,46733.0,8.281086170372115,Affordable
25,Bradford,164000.0,E08000032,32532.0,5.041190212713635,Very Affordable
26,Braintree,329500.0,E07000067,37301.0,8.833543336639769,Affordable
27,Breckland,260000.0,E07000143,31940.0,8.140262993112085,Affordable
28,Brent,536098.0,E09000005,37822.0,14.174237216434879,Very Expensive
